,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FGA_1,FG%_1,3PTA_1,3PT%_1,FTA_1,FT%_1,ORebounds_1,DRebounds_1,Assits_1,Turnovers_1,Steals_1,Blocks_1,Fouls_1,FGA_2,FG%_2,3PTA_2,3PT%_2,FTA_2,FT%_2,ORebounds_2,DRebounds_2,Assits_2,Turnovers_2,Steals_2,Blocks_2,Fouls_2,Winner (first team = 1 sec team = 0),FG Diff,FG% Diff,3pt Diff,3P% Diff,FT Diff,FT% Diff,Assist Diff,Turnover Diff,O Rebounds Diff,D Rebounds Diff,Steals Diff,Blocks Diff,Foul Diff,Winner (first team = 1 sec team = 0)
,,84,54.8,28,32.1,22,86.4,3,28,25,12,6,7,18,91,49.5,34,52.9,25,80,15,33,25,18,7,5,25,0,-7,5.3,-6,-20.8,-3,6.4,0,-6,-12,-5,-1,2,-7,0
Cleveland Cavaliers,Win,100,42,39,28.2,24,79.2,9,42,24,11,6,4,23,93,40.9,41,26.8,27,96.3,8,44,26,14,5,9,24,1,7,1.1,-2,1.4,-3,-17.1,-2,-3,1,-2,1,-5,-1,1
,,81,54.3,26,42.3,16,81.3,10,37,30,19,5,13,15,83,37.3,37,35.1,15,86.7,9,25,16,19,10,6,22,1,-2,17,-11,7.2,1,-5.4,14,0,1,12,-5,7,-7,1
,,84,44,32,25,36,88.9,9,39,19,14,7,6,20,87,46,27,29.6,21,57.1,10,33,24,17,4,4,26,1,-3,-2,5,-4.6,15,31.8,-5,-3,-1,6,3,2,-6,1
,,92,53.3,28,28.6,32,81.3,7,43,25,20,8,8,25,110,40,44,31.8,24,83.3,17,36,24,16,11,6,33,1,-18,13.3,-16,-3.2,8,-2,1,4,-10,7,-3,2,-8,1
,,83,53,37,35.1,16,75,13,36,31,20,7,1,23,80,38.8,31,19.4,22,86.4,11,19,17,16,6,3,16,1,3,14.2,6,15.7,-6,-11.4,14,4,2,17,1,-2,7,1
,Lose,87,39.1,33,36.4,26,84.6,10,31,12,9,9,2,17,83,50.6,32,46.9,25,72,8,35,27,13,4,9,22,0,4,-11.5,1,-10.5,1,12.6,-15,-4,2,-4,5,-7,-5,0
,,90,37.8,38,18.4,16,81.3,13,34,21,10,7,3,18,84,44,28,42.9,17,82.4,7,38,23,12,4,5,17,0,6,-6.2,10,-24.5,-1,-1.1,-2,-2,6,-4,3,-2,1,0
,,83,34.9,35,22.9,20,75,8,31,17,19,7,6,15,86,40.7,29,17.2,21,81,14,40,17,21,6,3,16,0,-3,-5.8,6,5.7,-1,-6,0,-2,-6,-9,1,3,-1,0
,,79,43,30,33.3,22,77.3,8,28,20,20,7,4,23,66,53,33,48.5,32,62.5,5,33,21,19,11,5,22,0,13,-10,-3,-15.2,-10,14.8,-1,1,3,-5,-4,-1,1,0
